,Artist_URI
0,spotify:artist:36QJpDe2go2KgaRleHCDTp
1,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
2,spotify:artist:2Hkut4rAAyrQxRdof7FVJq
3,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
4,spotify:artist:711MCceyCBcFnzjGY4Q7Un
5,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
6,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ
7,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
8,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
9,spotify:artist:6mdiAmATAx73kdxrNrnlao
10,spotify:artist:568ZhdwyaiCyOGJRtNYhWf
11,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
12,spotify:artist:67ea9eGLXYMsO2eYQRui3w
13,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ
14,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K
15,spotify:artist:07XSN3sPlIlB2L2XNcTwJw
16,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
17,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
18,spotify:artist:7AC976RDJzL2asmZuz7qil
19,spotify:artist:776Uo845nYHJpNaStv1Ds4
20,spotify:artist:74ASZWbe4lXaubB36ztrGX
21,spotify:artist:6biWAmrHyiMkX49LkycGqQ
22,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
23,spotify:artist:58lV9VcRSjABbAbfWS6skp
24,spotify:artist:51Blml2LZPmy7TTiAg47vQ
25,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD
26,spotify:artist:1DFr97A9HnbV3SKTJFu62M
27,spotify:artist:3CkvROUTQ6nRi9yQOcsB50
28,spotify:artist:2tRsMl4eGxwoNabM08Dm4I
29,spotify:artist:6olE6TJLqED3rqDCT0FyPh
30,spotify:artist:08GQAI4eElDnROBrJRGE0X
31,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8
32,spotify:artist:3eqjTLE0HfPfh78zjh6TqT
33,spotify:artist:0j0Z5OJJ0kKHcmy1zIujYA
34,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0
35,spotify:artist:22WZ7M8sxp5THdruNY3gXt
36,spotify:artist:3IYUhFvPQItj6xySrBmZkd
37,spotify:artist:3iDD7bnsjL9J4fO298r0L0
38,spotify:artist:45O9BwPMyywM755SYUK0sP
39,spotify:artist:4gIdjgLlvgEOz7MexDZzpM
40,spotify:artist:7ai5TWiOG8g9Hds5AATS28
41,spotify:artist:1w5Kfo2jwwIPruYS2UWh56
42,spotify:artist:4hz8tIajF2INpgM0qzPJz2
43,spotify:artist:0cc6vw3VN8YlIcvr1v7tBL
44,spotify:artist:74oJ4qxwOZvX6oSsu1DGnw
45,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
46,spotify:artist:1co4F2pPNH8JjTutZkmgSm
47,spotify:artist:2AM4ilv6UzW0uMRuqKtDgN
48,spotify:artist:7M1FPw29m5FbicYzS2xdpi
49,spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo
