,Artists,CoverArt
0,Led Zeppelin,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e
1,Queen,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
2,Rush,https://i.scdn.co/image/6fdfa7c623d77d5900e69eef2443340e3493a4bf
3,Pink Floyd,https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa
4,AC/DC,https://i.scdn.co/image/a16c5d95ede008ec905d6ca6d1b5abbf39ad4566
5,The Beatles,https://i.scdn.co/image/6b2a709752ef9c7aaf0d270344157f6cd2e0f1a7
6,Black Sabbath,https://i.scdn.co/image/5931700f9515dd6587230130beb615e0549e47dc
7,The Rolling Stones,https://i.scdn.co/image/85d9cb252ab4d8410d31820be40214c59f2597a1
8,Metallica,https://i.scdn.co/image/5a06711d7fc48d5e0e3f9a3274ffed3f0af1bd91
9,Iron Maiden,https://i.scdn.co/image/9b47777582da7ee93a65c89d1d28688cc0e6225b
10,Deep Purple,https://i.scdn.co/image/d8dc5a44c417ae8ee8f0a5f45165172a27aed1ba
11,Guns N' Roses,https://i.scdn.co/image/80920b4fc80b6d970e2934eb8abe27014fc60632
12,Who,https://i.scdn.co/image/9cd709cabb4a614b4f1dd9ec256a5f30e21f0150
13,Def Leppard,https://i.scdn.co/image/aefc2788e19ee5bf75791f78746072fe3249ad4b
14,Van Halen,https://i.scdn.co/image/5ce847acc4574532b94e038dd4729a9b9a25bc12
15,Kiss,https://i.scdn.co/image/74925968b2f76706c62bed18af92ef43241e7756
16,Aerosmith,https://i.scdn.co/image/a70e0a22056cf078a7d76f5602e59d969ee9f530
17,Eagles,https://i.scdn.co/image/6b215464b769958ef1d7d9f163e3f49ebacf8842
18,Yes,https://i.scdn.co/image/22c7d5f100015ec96964a2e9f0da126b097f7a7c
19,Jimi Hendrix,https://i.scdn.co/image/14ce65949a921e76421a0164c17f9ebe0a8d76e8
20,Bob Dylan,https://i.scdn.co/image/ab6772690000c46cf79ca05dcc1581c712bf3658
21,Thin Lizzy,https://i.scdn.co/image/cbebfb93be8c2ac47ef6b8a2186d11b3298abe49
22,David Bowie,https://i.scdn.co/image/0dfa45563119fd98226ec0d5cd35a80473502469
23,Bon Jovi,https://i.scdn.co/image/255476a832d9647d73ed03ae51727cb911c565df
24,U2,https://i.scdn.co/image/e22d5c0c8139b8439440a69854ed66efae91112d
25,Foo Fighters,https://i.scdn.co/image/4357f7b293c92d3a70a087552a27f69f431e16ae
26,Motorhead,https://i.scdn.co/image/7e025897bdbe59b91c8acf1bfe4c5d8bd9476b23
27,Genesis,https://i.scdn.co/image/c42f3ed56e0eb156b63526faf69dd7dcd8ede34a
28,Judas Priest,https://i.scdn.co/image/d6df710d0a8244dc02fae361d89b7d2ffb4dfba3
29,Nirvana,https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b
30,Fleetwood Mac,https://i.scdn.co/image/8976b6b0aacba6f7859b1f0ab7bc0adcd6ea7444
31,Tool,https://i.scdn.co/image/c23701238e46876969ea3b694e9b42b8db133b91
32,Bruce Springsteen,https://i.scdn.co/image/3c09e1a1dfefa33f99b78b1ce09024656c394b76
33,Slade,https://i.scdn.co/image/bfb524af354a6542bd2c5f56070806186636b8dc
34,Lynyrd Skynyrd,https://i.scdn.co/image/ae580d5ee491fc30bb9077018331e6c3e3ecd089
35,The Doors,https://i.scdn.co/image/b8c3d75acf2d800defb05b8515445e6d064c97d5
36,Creedence Clearwater Revival,https://i.scdn.co/image/a02c89d6abef58ad10832020c06f6a8a38dd9a32
37,Chicago,https://i.scdn.co/image/44b2af225e5a8f0c215965d542e8ab9d00311b5f
38,Uriah Heep,https://i.scdn.co/image/ab9f63929e7f3410f0a6b04f690cd096354d4e63
39,Status Quo,https://i.scdn.co/image/8d33537707c88411b0fd0d5321cc420c340ed816
40,Marillion,https://i.scdn.co/image/1c0407979edaed04b6e6c26cb262684d8c45d536
41,Pearl Jam,https://i.scdn.co/image/8a7775f16a99af5d353d4eb31ec0ccf908a6a6d1
42,Rainbow,https://i.scdn.co/image/9a9c0097d453de54c0a08ed21f3b72be68a1dd17
43,Motley Crue,https://i.scdn.co/image/82e32119f6232816abbf017a4bbb5481c5cb9d44
44,Cream,https://i.scdn.co/image/aab6a0a0e9ca2ab17460b0451e59ba507cc5802a
45,Journey,https://i.scdn.co/image/1909b653e3ff13e01bd7181a98e7f2e0129e2d00
46,Ramones,https://i.scdn.co/image/30ff88b596860cefb7a138e2e3dd3af771381231
47,ZZ Top,https://i.scdn.co/image/684172db801f534639d3f047dc8095da623892e3
48,King Crimson,https://i.scdn.co/image/6967f333710024d3655a9d7b070bc360b9c84ab9
49,Roxy Music,https://i.scdn.co/image/00a2066e2104137e034dd55f05ee8a8887d98728
