,Artists,Tracks
0,Led Zeppelin,Immigrant Song - 2012 Remaster
1,Led Zeppelin,Stairway to Heaven - 2012 Remaster
2,Led Zeppelin,Whole Lotta Love - 1990 Remaster
3,Led Zeppelin,Ramble On - 1990 Remaster
4,Led Zeppelin,Black Dog - 2012 Remaster
5,Led Zeppelin,Good Times Bad Times - 1993 Remaster
6,Led Zeppelin,Kashmir - 1990 Remaster
7,Led Zeppelin,Going to California - 2012 Remaster
8,Led Zeppelin,Fool in the Rain - 1990 Remaster
9,Led Zeppelin,Hey Hey What Can I Do - 2012 Remaster
10,Led Zeppelin,Stairway to Heaven - 1990 Remaster
11,Led Zeppelin,D'yer Mak'er - 2012 Remaster
12,Led Zeppelin,Rock and Roll - 2012 Remaster
13,Led Zeppelin,When the Levee Breaks - 2012 Remaster
14,Led Zeppelin,Dazed and Confused - 1990 Remaster
15,Led Zeppelin,Over the Hills and Far Away - 1990 Remaster
16,Led Zeppelin,Heartbreaker - 1990 Remaster
17,Led Zeppelin,Tangerine - 2012 Remaster
18,Led Zeppelin,Babe I'm Gonna Leave You - 1990 Remaster
19,Led Zeppelin,The Rain Song - 2012 Remaster
20,Queen,Bohemian Rhapsody - 2011 Mix
21,Queen,Don't Stop Me Now - 2011 Mix
22,Queen,Another One Bites The Dust - Remastered 2011
23,Queen,Under Pressure - Remastered
24,Queen,We Will Rock You - Remastered
25,Queen,Medicine
26,Queen,Somebody To Love - 2011 Mix
27,Queen,Fat Bottomed Girls - Remastered 2011
28,Queen,Crazy Little Thing Called Love - Remastered 2011
29,Queen,Killer Queen - 2011 Mix
30,Queen,We Are The Champions - Remastered 2011
31,Queen,Butterflies
32,Queen,Radio Ga Ga - 2011 Mix
33,Queen,Karma
34,Queen,I Want To Break Free - Remastered 2011
35,Queen,No One Knows
36,Queen,Butterflies Pt. 2
37,Queen,Don't Stop Me Now
38,Queen,You're My Best Friend - Remastered 2011
39,Queen,Bohemian Rhapsody
40,Rush,Tom Sawyer
41,Rush,Limelight
42,Rush,Boyfriend
43,Rush,The Spirit Of Radio
44,Rush,Working Man
45,Rush,Worldwide
46,Rush,Big Time Rush
47,Rush,Closer To The Heart
48,Rush,Til I Forget About You
49,Rush,Fly By Night
50,Rush,Forget Me Nots
51,Rush,YYZ
52,Rush,Freewill
53,Rush,Count On You (feat. Jordin Sparks)
54,Rush,Halfway There
55,Rush,Subdivisions
56,Rush,Windows Down
57,Rush,If I Ruled the World
58,Rush,Any Kind of Guy
59,Rush,Red Barchetta
60,Pink Floyd,Wish You Were Here
61,Pink Floyd,Comfortably Numb
