,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Rock or Bust,1,2vyae4DvSU2gs8OMOGwXF2,Rock or Bust,spotify:track:2vyae4DvSU2gs8OMOGwXF2,183053,7.13e-05,0.572,0.825,0.000134,0.134,-3.977,0.04,98.057,0.56,63
1,Rock or Bust,2,3fpzBeEHvuXKOl7QeVe1iz,Play Ball,spotify:track:3fpzBeEHvuXKOl7QeVe1iz,167133,6.71e-06,0.52,0.872,0.246,0.207,-4.354,0.0383,120.006,0.449,53
2,Rock or Bust,3,5xGHeN58fFOcORW0pRZznn,Rock the Blues Away,spotify:track:5xGHeN58fFOcORW0pRZznn,204373,0.000131,0.537,0.88,0.00531,0.135,-4.902,0.0353,120.976,0.37,51
3,Rock or Bust,4,4WpGOn71DcfB9zMvnN9mLl,Miss Adventure,spotify:track:4WpGOn71DcfB9zMvnN9mLl,177253,1.09e-05,0.51,0.896,0.000771,0.0826,-3.585,0.0624,120.134,0.652,47
4,Rock or Bust,5,2eSsmjwzDB9JTGvn2ZPLE9,Dogs of War,spotify:track:2eSsmjwzDB9JTGvn2ZPLE9,215440,4.71e-05,0.502,0.816,0.0217,0.302,-4.562,0.0329,99.372,0.475,48
5,Rock or Bust,6,5CqTorhnA1GUNh1Z8PnGiS,Got Some Rock & Roll Thunder,spotify:track:5CqTorhnA1GUNh1Z8PnGiS,202586,0.000157,0.626,0.833,0.000717,0.0608,-4.352,0.0285,107.572,0.863,47
6,Rock or Bust,7,5aoTIWdzgcjGo3SdjxqWSf,Hard Times,spotify:track:5aoTIWdzgcjGo3SdjxqWSf,164226,5.64e-05,0.57,0.758,0.0304,0.448,-4.362,0.036,93.095,0.451,56
7,Rock or Bust,8,1ULNWGJD3skjg0jWjhCFHc,Baptism By Fire,spotify:track:1ULNWGJD3skjg0jWjhCFHc,210200,4.67e-06,0.457,0.93,0.197,0.174,-4.203,0.0588,150.188,0.674,48
8,Rock or Bust,9,57NrsUX4Ix819R67iiwcos,Rock the House,spotify:track:57NrsUX4Ix819R67iiwcos,162840,4.94e-05,0.448,0.94,3.13e-05,0.0975,-3.52,0.0516,91.212,0.593,47
9,Rock or Bust,10,7qnCJHj5rzdKzQKkQmrlad,Sweet Candy,spotify:track:7qnCJHj5rzdKzQKkQmrlad,189720,6.25e-06,0.449,0.847,0.032,0.133,-4.31,0.0463,192.149,0.654,46
10,Rock or Bust,11,1v2dqCvCUf2TmxtbKXvLFN,Emission Control,spotify:track:1v2dqCvCUf2TmxtbKXvLFN,221360,0.000104,0.409,0.858,0.135,0.212,-4.644,0.0393,168.955,0.628,46
11,Live at River Plate,1,2hzg8fX8NGSK4loyJbNLr1,"Rock N Roll Train - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:2hzg8fX8NGSK4loyJbNLr1,281280,0.000373,0.462,0.965,2.1e-05,0.931,-5.087,0.0749,125.704,0.422,51
12,Live at River Plate,2,5x1wkgdotvZwgmgscxFWcz,"Hell Ain't a Bad Place to Be - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:5x1wkgdotvZwgmgscxFWcz,267600,0.000935,0.361,0.953,0.0,0.976,-4.608,0.0774,129.588,0.374,50
13,Live at River Plate,3,7JLqofLzcpdjFHc6oRSBGf,"Back In Black - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:7JLqofLzcpdjFHc6oRSBGf,255053,0.000602,0.308,0.95,1.33e-06,0.987,-4.553,0.0771,92.66,0.508,51
14,Live at River Plate,4,4eJTrppVPYaf4RTVhFoLiV,"Big Jack - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:4eJTrppVPYaf4RTVhFoLiV,247960,0.000911,0.474,0.974,0.0,0.989,-4.566,0.0633,130.936,0.418,46
15,Live at River Plate,5,0q3cKVAjGC0NqmkcEcQDy8,"Dirty Deeds Done Dirt Cheap - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:0q3cKVAjGC0NqmkcEcQDy8,298826,0.000979,0.277,0.934,1.94e-05,0.972,-4.788,0.118,139.957,0.418,48
16,Live at River Plate,6,6q7XBzRnDqSXggczzNgSbE,"Shot Down in Flames - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:6q7XBzRnDqSXggczzNgSbE,227400,8.26e-05,0.369,0.965,3.05e-06,0.968,-4.126,0.0848,135.021,0.411,46
